CIP_Sample_Code	UCD_Sample_Code	UCD_Sample_Numeric	Non_inducer	Inducer	Monica_ploidy	KRA_Background_Ploidy	Monica_KRA_ploidy_concordant	KRA_aneuploidy_notes	Predicted_chrom_number	Parent_assoc_aneuploidy	Phureja_marker_phenotype	Other notes	numerical_aneuploidy	broken_chromosome
CIP315029.4	MM39	39	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.5	MM40	40	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.6	MM41	41	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.9	MM42	42	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.10	MM43	43	LR00014	IVP35	2x	2x	TRUE	2x+10S.10L	25	non-inducer	NA	recheck when I have better SNPs	numerical	.
CIP315029.11	MM44	44	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.12	MM45	45	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.13	MM46	46	LR00014	IVP35	3x	3x	TRUE	4x-6S.6L	47	NA	NA	recheck when I have better SNPs	numerical	.
CIP315029.14	MM47	47	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.15	MM48	48	LR00014	IVP35	3x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.16	MM49	49	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.17	MM50	50	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.18	MM51	51	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.19	MM52	52	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.20	MM53	53	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.21	MM54	54	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.22	MM55	55	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315030.2	MM56	56	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.3	MM57	57	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.4	MM58	58	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.6	MM59	59	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.10	MM60	60	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.11	MM61	61	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.12	MM62	62	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.13	MM63	63	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
