sample	unit	fq1	fq2	parhap	mother	inducer
MM441	KFRAG_00621_b	KFRAG_00621_b.fq.gz	NaN	haploid	LR00_022	PL4
MM441	KFRAG_00621_c	KFRAG_00621_c.fq.gz	NaN	haploid	LR00_022	PL4
MM442	KFRAG_00622	KFRAG_00622.fq.gz	NaN	haploid	LR00_022	PL4
MM442	KFRAG_00622_b	KFRAG_00622_b.fq.gz	NaN	haploid	LR00_022	PL4
MM442	KFRAG_00622_c	KFRAG_00622_c.fq.gz	NaN	haploid	LR00_022	PL4
MM443	KFRAG_00623	KFRAG_00623.fq.gz	NaN	haploid	LR00_022	PL4
MM443	KFRAG_00623_b	KFRAG_00623_b.fq.gz	NaN	haploid	LR00_022	PL4
MM443	KFRAG_00623_c	KFRAG_00623_c.fq.gz	NaN	haploid	LR00_022	PL4
MM444	KFRAG_00624	KFRAG_00624.fq.gz	NaN	haploid	LR00_022	PL4
MM444	KFRAG_00624_b	KFRAG_00624_b.fq.gz	NaN	haploid	LR00_022	PL4
MM444	KFRAG_00624_c	KFRAG_00624_c.fq.gz	NaN	haploid	LR00_022	PL4
MM445	KFRAG_00625	KFRAG_00625.fq.gz	NaN	haploid	LR00_022	PL4
MM445	KFRAG_00625_b	KFRAG_00625_b.fq.gz	NaN	haploid	LR00_022	PL4
MM445	KFRAG_00625_c	KFRAG_00625_c.fq.gz	NaN	haploid	LR00_022	PL4
MM446	KFRAG_00626	KFRAG_00626.fq.gz	NaN	haploid	LR00_022	PL4
MM446	KFRAG_00626_b	KFRAG_00626_b.fq.gz	NaN	haploid	LR00_022	PL4
MM446	KFRAG_00626_c	KFRAG_00626_c.fq.gz	NaN	haploid	LR00_022	PL4
MM447	KFRAG_00627	KFRAG_00627.fq.gz	NaN	haploid	LR00_022	PL4
MM447	KFRAG_00627_b	KFRAG_00627_b.fq.gz	NaN	haploid	LR00_022	PL4
MM447	KFRAG_00627_c	KFRAG_00627_c.fq.gz	NaN	haploid	LR00_022	PL4
MM448	KFRAG_00628	KFRAG_00628.fq.gz	NaN	haploid	LR00_022	PL4
MM448	KFRAG_00628_b	KFRAG_00628_b.fq.gz	NaN	haploid	LR00_022	PL4
MM448	KFRAG_00628_c	KFRAG_00628_c.fq.gz	NaN	haploid	LR00_022	PL4
MM449	KFRAG_00629	KFRAG_00629.fq.gz	NaN	haploid	LR00_022	PL4
MM449	KFRAG_00629_b	KFRAG_00629_b.fq.gz	NaN	haploid	LR00_022	PL4
MM449	KFRAG_00629_c	KFRAG_00629_c.fq.gz	NaN	haploid	LR00_022	PL4
MM450	KFRAG_00630	KFRAG_00630.fq.gz	NaN	haploid	LR00_022	PL4
MM450	KFRAG_00630_b	KFRAG_00630_b.fq.gz	NaN	haploid	LR00_022	PL4
MM450	KFRAG_00630_c	KFRAG_00630_c.fq.gz	NaN	haploid	LR00_022	PL4
MM451	KFRAG_00631	KFRAG_00631.fq.gz	NaN	haploid	LR00_022	PL4
MM451	KFRAG_00631_b	KFRAG_00631_b.fq.gz	NaN	haploid	LR00_022	PL4
MM451	KFRAG_00631_c	KFRAG_00631_c.fq.gz	NaN	haploid	LR00_022	PL4
MM452	KFRAG_00632	KFRAG_00632.fq.gz	NaN	haploid	LR00_022	PL4
MM452	KFRAG_00632_b	KFRAG_00632_b.fq.gz	NaN	haploid	LR00_022	PL4
MM452	KFRAG_00632_c	KFRAG_00632_c.fq.gz	NaN	haploid	LR00_022	PL4
MM453	KFRAG_00633	KFRAG_00633.fq.gz	NaN	haploid	LR00_022	PL4
MM453	KFRAG_00633_b	KFRAG_00633_b.fq.gz	NaN	haploid	LR00_022	PL4
MM453	KFRAG_00633_c	KFRAG_00633_c.fq.gz	NaN	haploid	LR00_022	PL4
MM454	KFRAG_00634	KFRAG_00634.fq.gz	NaN	haploid	LR00_022	PL4
MM454	KFRAG_00634_b	KFRAG_00634_b.fq.gz	NaN	haploid	LR00_022	PL4
MM454	KFRAG_00634_c	KFRAG_00634_c.fq.gz	NaN	haploid	LR00_022	PL4
MM455	KFRAG_00635	KFRAG_00635.fq.gz	NaN	haploid	LR00_022	PL4
MM455	KFRAG_00635_b	KFRAG_00635_b.fq.gz	NaN	haploid	LR00_022	PL4
MM455	KFRAG_00635_c	KFRAG_00635_c.fq.gz	NaN	haploid	LR00_022	PL4
MM456	KFRAG_00636	KFRAG_00636.fq.gz	NaN	haploid	LR00_022	PL4
MM456	KFRAG_00636_b	KFRAG_00636_b.fq.gz	NaN	haploid	LR00_022	PL4
MM456	KFRAG_00636_c	KFRAG_00636_c.fq.gz	NaN	haploid	LR00_022	PL4
MM457	KFRAG_00637	KFRAG_00637.fq.gz	NaN	haploid	LR00_022	PL4
MM457	KFRAG_00637_b	KFRAG_00637_b.fq.gz	NaN	haploid	LR00_022	PL4
MM457	KFRAG_00637_c	KFRAG_00637_c.fq.gz	NaN	haploid	LR00_022	PL4
MM458	KFRAG_00638	KFRAG_00638.fq.gz	NaN	haploid	LR00_022	PL4
MM458	KFRAG_00638_b	KFRAG_00638_b.fq.gz	NaN	haploid	LR00_022	PL4
MM458	KFRAG_00638_c	KFRAG_00638_c.fq.gz	NaN	haploid	LR00_022	PL4
MM459	KFRAG_00639	KFRAG_00639.fq.gz	NaN	haploid	LR00_022	PL4
MM459	KFRAG_00639_b	KFRAG_00639_b.fq.gz	NaN	haploid	LR00_022	PL4
MM459	KFRAG_00639_c	KFRAG_00639_c.fq.gz	NaN	haploid	LR00_022	PL4
MM460	KFRAG_00640	KFRAG_00640.fq.gz	NaN	haploid	LR00_022	PL4
MM460	KFRAG_00640_b	KFRAG_00640_b.fq.gz	NaN	haploid	LR00_022	PL4
MM460	KFRAG_00640_c	KFRAG_00640_c.fq.gz	NaN	haploid	LR00_022	PL4
MM461	KFRAG_00641	KFRAG_00641.fq.gz	NaN	haploid	LR00_022	PL4
MM461	KFRAG_00641_b	KFRAG_00641_b.fq.gz	NaN	haploid	LR00_022	PL4
MM461	KFRAG_00641_c	KFRAG_00641_c.fq.gz	NaN	haploid	LR00_022	PL4
MM462	KFRAG_00642	KFRAG_00642.fq.gz	NaN	haploid	LR00_022	PL4
MM462	KFRAG_00642_b	KFRAG_00642_b.fq.gz	NaN	haploid	LR00_022	PL4
MM462	KFRAG_00642_c	KFRAG_00642_c.fq.gz	NaN	haploid	LR00_022	PL4
MM463	KFRAG_00643	KFRAG_00643.fq.gz	NaN	haploid	LR00_022	PL4
MM463	KFRAG_00643_b	KFRAG_00643_b.fq.gz	NaN	haploid	LR00_022	PL4
MM463	KFRAG_00643_c	KFRAG_00643_c.fq.gz	NaN	haploid	LR00_022	PL4
MM464	KFRAG_00644	KFRAG_00644.fq.gz	NaN	haploid	LR00_022	PL4
MM464	KFRAG_00644_b	KFRAG_00644_b.fq.gz	NaN	haploid	LR00_022	PL4
MM464	KFRAG_00644_c	KFRAG_00644_c.fq.gz	NaN	haploid	LR00_022	PL4
MM465	KFRAG_00645	KFRAG_00645.fq.gz	NaN	haploid	LR00_022	PL4
MM465	KFRAG_00645_b	KFRAG_00645_b.fq.gz	NaN	haploid	LR00_022	PL4
MM465	KFRAG_00645_c	KFRAG_00645_c.fq.gz	NaN	haploid	LR00_022	PL4
MM466	KFRAG_00646	KFRAG_00646.fq.gz	NaN	haploid	LR00_022	PL4
MM466	KFRAG_00646_b	KFRAG_00646_b.fq.gz	NaN	haploid	LR00_022	PL4
MM466	KFRAG_00646_c	KFRAG_00646_c.fq.gz	NaN	haploid	LR00_022	PL4
MM467	KFRAG_00647	KFRAG_00647.fq.gz	NaN	haploid	LR00_022	PL4
MM467	KFRAG_00647_b	KFRAG_00647_b.fq.gz	NaN	haploid	LR00_022	PL4
MM467	KFRAG_00647_c	KFRAG_00647_c.fq.gz	NaN	haploid	LR00_022	PL4
MM468	KFRAG_00648	KFRAG_00648.fq.gz	NaN	haploid	LR00_022	PL4
MM468	KFRAG_00648_b	KFRAG_00648_b.fq.gz	NaN	haploid	LR00_022	PL4
MM468	KFRAG_00648_c	KFRAG_00648_c.fq.gz	NaN	haploid	LR00_022	PL4
MM469	KFRAG_00649	KFRAG_00649.fq.gz	NaN	haploid	LR00_022	PL4
MM469	KFRAG_00649_b	KFRAG_00649_b.fq.gz	NaN	haploid	LR00_022	PL4
MM469	KFRAG_00649_c	KFRAG_00649_c.fq.gz	NaN	haploid	LR00_022	PL4
MM470	KFRAG_00650	KFRAG_00650.fq.gz	NaN	haploid	LR00_022	PL4
MM470	KFRAG_00650_b	KFRAG_00650_b.fq.gz	NaN	haploid	LR00_022	PL4
MM470	KFRAG_00650_c	KFRAG_00650_c.fq.gz	NaN	haploid	LR00_022	PL4
MM471	KFRAG_00651	KFRAG_00651.fq.gz	NaN	haploid	LR00_022	PL4
MM471	KFRAG_00651_b	KFRAG_00651_b.fq.gz	NaN	haploid	LR00_022	PL4
MM471	KFRAG_00651_c	KFRAG_00651_c.fq.gz	NaN	haploid	LR00_022	PL4
MM472	KFRAG_00652	KFRAG_00652.fq.gz	NaN	haploid	LR00_022	PL4
MM472	KFRAG_00652_b	KFRAG_00652_b.fq.gz	NaN	haploid	LR00_022	PL4
MM472	KFRAG_00652_c	KFRAG_00652_c.fq.gz	NaN	haploid	LR00_022	PL4
MM473	KFRAG_00653	KFRAG_00653.fq.gz	NaN	haploid	LR00_022	PL4
MM473	KFRAG_00653_b	KFRAG_00653_b.fq.gz	NaN	haploid	LR00_022	PL4
MM473	KFRAG_00653_c	KFRAG_00653_c.fq.gz	NaN	haploid	LR00_022	PL4
MM474	KFRAG_00654	KFRAG_00654.fq.gz	NaN	haploid	LR00_022	PL4
MM474	KFRAG_00654_b	KFRAG_00654_b.fq.gz	NaN	haploid	LR00_022	PL4
MM474	KFRAG_00654_c	KFRAG_00654_c.fq.gz	NaN	haploid	LR00_022	PL4
MM475	KFRAG_00655	KFRAG_00655.fq.gz	NaN	haploid	LR00_022	PL4
MM475	KFRAG_00655_b	KFRAG_00655_b.fq.gz	NaN	haploid	LR00_022	PL4
MM475	KFRAG_00655_c	KFRAG_00655_c.fq.gz	NaN	haploid	LR00_022	PL4
MM476	KFRAG_00656	KFRAG_00656.fq.gz	NaN	haploid	LR00_022	PL4
MM476	KFRAG_00656_b	KFRAG_00656_b.fq.gz	NaN	haploid	LR00_022	PL4
MM476	KFRAG_00656_c	KFRAG_00656_c.fq.gz	NaN	haploid	LR00_022	PL4
MM477	KFRAG_00657	KFRAG_00657.fq.gz	NaN	haploid	LR00_022	PL4
MM477	KFRAG_00657_b	KFRAG_00657_b.fq.gz	NaN	haploid	LR00_022	PL4
MM477	KFRAG_00657_c	KFRAG_00657_c.fq.gz	NaN	haploid	LR00_022	PL4
MM478	KFRAG_00658	KFRAG_00658.fq.gz	NaN	haploid	LR00_022	PL4
MM478	KFRAG_00658_b	KFRAG_00658_b.fq.gz	NaN	haploid	LR00_022	PL4
MM478	KFRAG_00658_c	KFRAG_00658_c.fq.gz	NaN	haploid	LR00_022	PL4
MM479	KFRAG_00659	KFRAG_00659.fq.gz	NaN	haploid	LR00_022	PL4
MM479	KFRAG_00659_b	KFRAG_00659_b.fq.gz	NaN	haploid	LR00_022	PL4
MM479	KFRAG_00659_c	KFRAG_00659_c.fq.gz	NaN	haploid	LR00_022	PL4
MM480	KFRAG_00660	KFRAG_00660.fq.gz	NaN	haploid	LR00_022	PL4
MM480	KFRAG_00660_b	KFRAG_00660_b.fq.gz	NaN	haploid	LR00_022	PL4
MM480	KFRAG_00660_c	KFRAG_00660_c.fq.gz	NaN	haploid	LR00_022	PL4
MM481	KFRAG_00661	KFRAG_00661.fq.gz	NaN	haploid	C01_020	PL4
MM481	KFRAG_00661_b	KFRAG_00661_b.fq.gz	NaN	haploid	C01_020	PL4
MM481	KFRAG_00661_c	KFRAG_00661_c.fq.gz	NaN	haploid	C01_020	PL4
MM482	KFRAG_00662	KFRAG_00662.fq.gz	NaN	haploid	C01_020	PL4
MM482	KFRAG_00662_b	KFRAG_00662_b.fq.gz	NaN	haploid	C01_020	PL4
MM482	KFRAG_00662_c	KFRAG_00662_c.fq.gz	NaN	haploid	C01_020	PL4
MM483	KFRAG_00663	KFRAG_00663.fq.gz	NaN	haploid	C01_020	PL4
MM483	KFRAG_00663_b	KFRAG_00663_b.fq.gz	NaN	haploid	C01_020	PL4
MM483	KFRAG_00663_c	KFRAG_00663_c.fq.gz	NaN	haploid	C01_020	PL4
MM484	KFRAG_00664	KFRAG_00664.fq.gz	NaN	haploid	C01_020	PL4
MM484	KFRAG_00664_b	KFRAG_00664_b.fq.gz	NaN	haploid	C01_020	PL4
MM484	KFRAG_00664_c	KFRAG_00664_c.fq.gz	NaN	haploid	C01_020	PL4
MM485	KFRAG_00665	KFRAG_00665.fq.gz	NaN	haploid	C01_020	PL4
MM485	KFRAG_00665_b	KFRAG_00665_b.fq.gz	NaN	haploid	C01_020	PL4
MM485	KFRAG_00665_c	KFRAG_00665_c.fq.gz	NaN	haploid	C01_020	PL4
MM486	KFRAG_00666	KFRAG_00666.fq.gz	NaN	haploid	C01_020	PL4
MM486	KFRAG_00666_b	KFRAG_00666_b.fq.gz	NaN	haploid	C01_020	PL4
MM486	KFRAG_00666_c	KFRAG_00666_c.fq.gz	NaN	haploid	C01_020	PL4
MM487	KFRAG_00667	KFRAG_00667.fq.gz	NaN	haploid	C01_020	PL4
MM487	KFRAG_00667_b	KFRAG_00667_b.fq.gz	NaN	haploid	C01_020	PL4
MM487	KFRAG_00667_c	KFRAG_00667_c.fq.gz	NaN	haploid	C01_020	PL4
MM488	KFRAG_00668	KFRAG_00668.fq.gz	NaN	haploid	C01_020	PL4
MM488	KFRAG_00668_b	KFRAG_00668_b.fq.gz	NaN	haploid	C01_020	PL4
MM488	KFRAG_00668_c	KFRAG_00668_c.fq.gz	NaN	haploid	C01_020	PL4
MM489	KFRAG_00669	KFRAG_00669.fq.gz	NaN	haploid	C01_020	PL4
MM489	KFRAG_00669_b	KFRAG_00669_b.fq.gz	NaN	haploid	C01_020	PL4
MM489	KFRAG_00669_c	KFRAG_00669_c.fq.gz	NaN	haploid	C01_020	PL4
MM490	KFRAG_00670	KFRAG_00670.fq.gz	NaN	haploid	C01_020	PL4
MM490	KFRAG_00670_b	KFRAG_00670_b.fq.gz	NaN	haploid	C01_020	PL4
MM490	KFRAG_00670_c	KFRAG_00670_c.fq.gz	NaN	haploid	C01_020	PL4
MM491	KFRAG_00671	KFRAG_00671.fq.gz	NaN	haploid	C01_020	PL4
MM491	KFRAG_00671_b	KFRAG_00671_b.fq.gz	NaN	haploid	C01_020	PL4
MM491	KFRAG_00671_c	KFRAG_00671_c.fq.gz	NaN	haploid	C01_020	PL4
MM492	KFRAG_00672	KFRAG_00672.fq.gz	NaN	haploid	C01_020	PL4
MM492	KFRAG_00672_b	KFRAG_00672_b.fq.gz	NaN	haploid	C01_020	PL4
MM492	KFRAG_00672_c	KFRAG_00672_c.fq.gz	NaN	haploid	C01_020	PL4
MM493	KFRAG_00673	KFRAG_00673.fq.gz	NaN	haploid	C01_020	PL4
MM493	KFRAG_00673_b	KFRAG_00673_b.fq.gz	NaN	haploid	C01_020	PL4
MM493	KFRAG_00673_c	KFRAG_00673_c.fq.gz	NaN	haploid	C01_020	PL4
MM494	KFRAG_00674	KFRAG_00674.fq.gz	NaN	haploid	C01_020	PL4
MM494	KFRAG_00674_b	KFRAG_00674_b.fq.gz	NaN	haploid	C01_020	PL4
MM494	KFRAG_00674_c	KFRAG_00674_c.fq.gz	NaN	haploid	C01_020	PL4
MM495	KFRAG_00675	KFRAG_00675.fq.gz	NaN	haploid	C01_020	PL4
MM495	KFRAG_00675_b	KFRAG_00675_b.fq.gz	NaN	haploid	C01_020	PL4
MM495	KFRAG_00675_c	KFRAG_00675_c.fq.gz	NaN	haploid	C01_020	PL4
MM496	KFRAG_00676	KFRAG_00676.fq.gz	NaN	haploid	C91_640	PL4
MM496	KFRAG_00676_b	KFRAG_00676_b.fq.gz	NaN	haploid	C91_640	PL4
MM496	KFRAG_00676_c	KFRAG_00676_c.fq.gz	NaN	haploid	C91_640	PL4
MM497	KFRAG_00677	KFRAG_00677.fq.gz	NaN	haploid	C91_640	PL4
MM497	KFRAG_00677_b	KFRAG_00677_b.fq.gz	NaN	haploid	C91_640	PL4
MM497	KFRAG_00677_c	KFRAG_00677_c.fq.gz	NaN	haploid	C91_640	PL4
MM498	KFRAG_00678	KFRAG_00678.fq.gz	NaN	haploid	C91_640	PL4
MM498	KFRAG_00678_b	KFRAG_00678_b.fq.gz	NaN	haploid	C91_640	PL4
MM498	KFRAG_00678_c	KFRAG_00678_c.fq.gz	NaN	haploid	C91_640	PL4
MM499	KFRAG_00679	KFRAG_00679.fq.gz	NaN	haploid	C91_640	PL4
MM499	KFRAG_00679_b	KFRAG_00679_b.fq.gz	NaN	haploid	C91_640	PL4
MM499	KFRAG_00679_c	KFRAG_00679_c.fq.gz	NaN	haploid	C91_640	PL4
MM500	KFRAG_00680	KFRAG_00680.fq.gz	NaN	haploid	C91_640	PL4
MM500	KFRAG_00680_b	KFRAG_00680_b.fq.gz	NaN	haploid	C91_640	PL4
MM500	KFRAG_00680_c	KFRAG_00680_c.fq.gz	NaN	haploid	C91_640	PL4
MM501	KFRAG_00681	KFRAG_00681.fq.gz	NaN	haploid	C91_640	PL4
MM501	KFRAG_00681_b	KFRAG_00681_b.fq.gz	NaN	haploid	C91_640	PL4
MM501	KFRAG_00681_c	KFRAG_00681_c.fq.gz	NaN	haploid	C91_640	PL4
MM502	KFRAG_00682	KFRAG_00682.fq.gz	NaN	haploid	C91_640	PL4
MM502	KFRAG_00682_b	KFRAG_00682_b.fq.gz	NaN	haploid	C91_640	PL4
MM502	KFRAG_00682_c	KFRAG_00682_c.fq.gz	NaN	haploid	C91_640	PL4
MM503	KFRAG_00683	KFRAG_00683.fq.gz	NaN	haploid	C91_640	PL4
MM503	KFRAG_00683_b	KFRAG_00683_b.fq.gz	NaN	haploid	C91_640	PL4
MM503	KFRAG_00683_c	KFRAG_00683_c.fq.gz	NaN	haploid	C91_640	PL4
MM504	KFRAG_00684	KFRAG_00684.fq.gz	NaN	haploid	C91_640	PL4
MM504	KFRAG_00684_b	KFRAG_00684_b.fq.gz	NaN	haploid	C91_640	PL4
MM504	KFRAG_00684_c	KFRAG_00684_c.fq.gz	NaN	haploid	C91_640	PL4
MM505	KFRAG_00685	KFRAG_00685.fq.gz	NaN	haploid	C91_640	PL4
MM505	KFRAG_00685_b	KFRAG_00685_b.fq.gz	NaN	haploid	C91_640	PL4
MM505	KFRAG_00685_c	KFRAG_00685_c.fq.gz	NaN	haploid	C91_640	PL4
MM506	KFRAG_00686	KFRAG_00686.fq.gz	NaN	haploid	C91_640	PL4
MM506	KFRAG_00686_b	KFRAG_00686_b.fq.gz	NaN	haploid	C91_640	PL4
MM506	KFRAG_00686_c	KFRAG_00686_c.fq.gz	NaN	haploid	C91_640	PL4
MM507	KFRAG_00687	KFRAG_00687.fq.gz	NaN	haploid	C91_640	PL4
MM507	KFRAG_00687_b	KFRAG_00687_b.fq.gz	NaN	haploid	C91_640	PL4
MM507	KFRAG_00687_c	KFRAG_00687_c.fq.gz	NaN	haploid	C91_640	PL4
MM508	KFRAG_00688	KFRAG_00688.fq.gz	NaN	haploid	C91_640	PL4
MM508	KFRAG_00688_b	KFRAG_00688_b.fq.gz	NaN	haploid	C91_640	PL4
MM508	KFRAG_00688_c	KFRAG_00688_c.fq.gz	NaN	haploid	C91_640	PL4
MM509	KFRAG_00689	KFRAG_00689.fq.gz	NaN	haploid	C91_640	PL4
MM509	KFRAG_00689_b	KFRAG_00689_b.fq.gz	NaN	haploid	C91_640	PL4
MM509	KFRAG_00689_c	KFRAG_00689_c.fq.gz	NaN	haploid	C91_640	PL4
MM510	KFRAG_00690	KFRAG_00690.fq.gz	NaN	haploid	C91_640	PL4
MM510	KFRAG_00690_b	KFRAG_00690_b.fq.gz	NaN	haploid	C91_640	PL4
MM510	KFRAG_00690_c	KFRAG_00690_c.fq.gz	NaN	haploid	C91_640	PL4
MM511	KFRAG_00691	KFRAG_00691.fq.gz	NaN	haploid	C91_640	PL4
MM511	KFRAG_00691_b	KFRAG_00691_b.fq.gz	NaN	haploid	C91_640	PL4
MM511	KFRAG_00691_c	KFRAG_00691_c.fq.gz	NaN	haploid	C91_640	PL4
MM512	KFRAG_00692	KFRAG_00692.fq.gz	NaN	haploid	C91_640	PL4
MM512	KFRAG_00692_b	KFRAG_00692_b.fq.gz	NaN	haploid	C91_640	PL4
MM512	KFRAG_00692_c	KFRAG_00692_c.fq.gz	NaN	haploid	C91_640	PL4
MM513	KFRAG_00693	KFRAG_00693.fq.gz	NaN	haploid	C91_640	PL4
MM513	KFRAG_00693_b	KFRAG_00693_b.fq.gz	NaN	haploid	C91_640	PL4
MM513	KFRAG_00693_c	KFRAG_00693_c.fq.gz	NaN	haploid	C91_640	PL4
MM514	KFRAG_00694	KFRAG_00694.fq.gz	NaN	haploid	C91_640	PL4
MM514	KFRAG_00694_b	KFRAG_00694_b.fq.gz	NaN	haploid	C91_640	PL4
MM514	KFRAG_00694_c	KFRAG_00694_c.fq.gz	NaN	haploid	C91_640	PL4
MM515	KFRAG_00695	KFRAG_00695.fq.gz	NaN	haploid	C91_640	PL4
MM515	KFRAG_00695_b	KFRAG_00695_b.fq.gz	NaN	haploid	C91_640	PL4
MM515	KFRAG_00695_c	KFRAG_00695_c.fq.gz	NaN	haploid	C91_640	PL4
MM516	KFRAG_00696	KFRAG_00696.fq.gz	NaN	haploid	C91_640	PL4
MM516	KFRAG_00696_b	KFRAG_00696_b.fq.gz	NaN	haploid	C91_640	PL4
MM516	KFRAG_00696_c	KFRAG_00696_c.fq.gz	NaN	haploid	C91_640	PL4
MM517	KFRAG_00697	KFRAG_00697.fq.gz	NaN	haploid	C91_640	PL4
MM517	KFRAG_00697_b	KFRAG_00697_b.fq.gz	NaN	haploid	C91_640	PL4
MM517	KFRAG_00697_c	KFRAG_00697_c.fq.gz	NaN	haploid	C91_640	PL4
MM518	KFRAG_00698	KFRAG_00698.fq.gz	NaN	haploid	C91_640	PL4
MM518	KFRAG_00698_b	KFRAG_00698_b.fq.gz	NaN	haploid	C91_640	PL4
MM518	KFRAG_00698_c	KFRAG_00698_c.fq.gz	NaN	haploid	C91_640	PL4
MM519	KFRAG_00699	KFRAG_00699.fq.gz	NaN	haploid	C91_640	PL4
MM519	KFRAG_00699_b	KFRAG_00699_b.fq.gz	NaN	haploid	C91_640	PL4
MM519	KFRAG_00699_c	KFRAG_00699_c.fq.gz	NaN	haploid	C91_640	PL4
MM520	KFRAG_00700	KFRAG_00700.fq.gz	NaN	haploid	C91_640	PL4
MM520	KFRAG_00700_b	KFRAG_00700_b.fq.gz	NaN	haploid	C91_640	PL4
MM520	KFRAG_00700_c	KFRAG_00700_c.fq.gz	NaN	haploid	C91_640	PL4
MM521	KFRAG_00701	KFRAG_00701.fq.gz	NaN	haploid	C91_640	PL4
MM521	KFRAG_00701_b	KFRAG_00701_b.fq.gz	NaN	haploid	C91_640	PL4
MM521	KFRAG_00701_c	KFRAG_00701_c.fq.gz	NaN	haploid	C91_640	PL4
MM522	KFRAG_00702	KFRAG_00702.fq.gz	NaN	haploid	C91_640	PL4
MM522	KFRAG_00702_b	KFRAG_00702_b.fq.gz	NaN	haploid	C91_640	PL4
MM522	KFRAG_00702_c	KFRAG_00702_c.fq.gz	NaN	haploid	C91_640	PL4
MM523	KFRAG_00703	KFRAG_00703.fq.gz	NaN	haploid	C91_640	PL4
MM523	KFRAG_00703_b	KFRAG_00703_b.fq.gz	NaN	haploid	C91_640	PL4
MM523	KFRAG_00703_c	KFRAG_00703_c.fq.gz	NaN	haploid	C91_640	PL4
MM524	KFRAG_00704	KFRAG_00704.fq.gz	NaN	haploid	C91_640	PL4
MM524	KFRAG_00704_b	KFRAG_00704_b.fq.gz	NaN	haploid	C91_640	PL4
MM524	KFRAG_00704_c	KFRAG_00704_c.fq.gz	NaN	haploid	C91_640	PL4
MM525	KFRAG_00705	KFRAG_00705.fq.gz	NaN	haploid	C91_640	PL4
MM525	KFRAG_00705_b	KFRAG_00705_b.fq.gz	NaN	haploid	C91_640	PL4
MM525	KFRAG_00705_c	KFRAG_00705_c.fq.gz	NaN	haploid	C91_640	PL4
MM526	KFRAG_00706	KFRAG_00706.fq.gz	NaN	haploid	C91_640	PL4
MM526	KFRAG_00706_b	KFRAG_00706_b.fq.gz	NaN	haploid	C91_640	PL4
MM526	KFRAG_00706_c	KFRAG_00706_c.fq.gz	NaN	haploid	C91_640	PL4
MM527	KFRAG_00707	KFRAG_00707.fq.gz	NaN	haploid	C91_640	PL4
MM527	KFRAG_00707_b	KFRAG_00707_b.fq.gz	NaN	haploid	C91_640	PL4
MM527	KFRAG_00707_c	KFRAG_00707_c.fq.gz	NaN	haploid	C91_640	PL4
MM528	KFRAG_00708	KFRAG_00708.fq.gz	NaN	haploid	C91_640	PL4
MM528	KFRAG_00708_b	KFRAG_00708_b.fq.gz	NaN	haploid	C91_640	PL4
MM528	KFRAG_00708_c	KFRAG_00708_c.fq.gz	NaN	haploid	C91_640	PL4
MM529	KFRAG_00709	KFRAG_00709.fq.gz	NaN	haploid	C91_640	PL4
MM529	KFRAG_00709_b	KFRAG_00709_b.fq.gz	NaN	haploid	C91_640	PL4
MM529	KFRAG_00709_c	KFRAG_00709_c.fq.gz	NaN	haploid	C91_640	PL4
MM530	KFRAG_00710	KFRAG_00710.fq.gz	NaN	haploid	C91_640	PL4
MM530	KFRAG_00710_b	KFRAG_00710_b.fq.gz	NaN	haploid	C91_640	PL4
MM530	KFRAG_00710_c	KFRAG_00710_c.fq.gz	NaN	haploid	C91_640	PL4
MM531	KFRAG_00711	KFRAG_00711.fq.gz	NaN	haploid	C91_640	PL4
MM531	KFRAG_00711_b	KFRAG_00711_b.fq.gz	NaN	haploid	C91_640	PL4
MM531	KFRAG_00711_c	KFRAG_00711_c.fq.gz	NaN	haploid	C91_640	PL4
MM532	KFRAG_00712	KFRAG_00712.fq.gz	NaN	haploid	C91_640	PL4
MM532	KFRAG_00712_b	KFRAG_00712_b.fq.gz	NaN	haploid	C91_640	PL4
MM532	KFRAG_00712_c	KFRAG_00712_c.fq.gz	NaN	haploid	C91_640	PL4
MM533	KFRAG_00713	KFRAG_00713.fq.gz	NaN	haploid	C91_640	PL4
MM533	KFRAG_00713_b	KFRAG_00713_b.fq.gz	NaN	haploid	C91_640	PL4
MM533	KFRAG_00713_c	KFRAG_00713_c.fq.gz	NaN	haploid	C91_640	PL4
MM534	KFRAG_00714	KFRAG_00714.fq.gz	NaN	haploid	C91_640	PL4
MM534	KFRAG_00714_b	KFRAG_00714_b.fq.gz	NaN	haploid	C91_640	PL4
MM534	KFRAG_00714_c	KFRAG_00714_c.fq.gz	NaN	haploid	C91_640	PL4
MM535	KFRAG_00715	KFRAG_00715.fq.gz	NaN	haploid	C91_640	PL4
MM535	KFRAG_00715_b	KFRAG_00715_b.fq.gz	NaN	haploid	C91_640	PL4
MM535	KFRAG_00715_c	KFRAG_00715_c.fq.gz	NaN	haploid	C91_640	PL4
MM536	KFRAG_00716	KFRAG_00716.fq.gz	NaN	haploid	C91_640	PL4
MM536	KFRAG_00716_b	KFRAG_00716_b.fq.gz	NaN	haploid	C91_640	PL4
MM536	KFRAG_00716_c	KFRAG_00716_c.fq.gz	NaN	haploid	C91_640	PL4
MM537	KFRAG_00717	KFRAG_00717.fq.gz	NaN	haploid	C91_640	PL4
MM537	KFRAG_00717_b	KFRAG_00717_b.fq.gz	NaN	haploid	C91_640	PL4
MM537	KFRAG_00717_c	KFRAG_00717_c.fq.gz	NaN	haploid	C91_640	PL4
