sample	unit	fq1	fq2	parhap
4x_MM293	KFRAG_00475	KFRAG_00475_1.fastq.gz	KFRAG_00475_2.fastq.gz	mother
4x_MM294	KFRAG_00476	KFRAG_00476_1.fastq.gz	KFRAG_00476_2.fastq.gz	mother
4x_MM302	KFRAG_00477	KFRAG_00477_1.fastq.gz	KFRAG_00477_2.fastq.gz	mother
4x_MM302	KFRAG_01450	KFRAG_01450H-1.fq.gz	KFRAG_01450H-2.fq.gz	mother
4x_Desiree	FRAG_01473	FRAG01473_S39_L003_1.fastq.gz	FRAG01473_S39_L003_2.fastq.gz	mother
4x_Desiree	KFRAG_00469	KFRAG_00469_1.fastq.gz	KFRAG_00469_2.fastq.gz	mother
4x_Superior	SRR2069940	SRR2069940_1.fastq.gz	SRR2069940_2.fastq.gz	mother
4x_Superior	SRR2069941	SRR2069941_1.fastq.gz	SRR2069941_2.fastq.gz	mother
4x_Superior	SRR2069942	SRR2069942_1.fastq.gz	SRR2069942_2.fastq.gz	mother
4x_Atlantic	SRR2070063	SRR2070063_1.fastq.gz	SRR2070063_2.fastq.gz	mother
4x_Atlantic	SRR2070065	SRR2070065_1.fastq.gz	SRR2070065_2.fastq.gz	mother
4x_Superior	SRR2070067	SRR2070067_1.fastq.gz	SRR2070067_2.fastq.gz	mother
4x_LOP868	SRR6123032	SRR6123032_1.fastq.gz	SRR6123032_2.fastq.gz	mother
4x_Kalkaska	SRR5349579	SRR5349579_1.fastq.gz	SRR5349579_2.fastq.gz	mother
4x_Katahdin	SRR5349594	SRR5349594_1.fastq.gz	SRR5349594_2.fastq.gz	mother
4x_Kennnebec	SRR5349593	SRR5349593_1.fastq.gz	SRR5349593_2.fastq.gz	mother
4x_Norkotah	SRR5349581	SRR5349581_1.fastq.gz	SRR5349581_2.fastq.gz	mother
4x_Russet_Burbank	SRR5349587	SRR5349587_1.fastq.gz	SRR5349587_2.fastq.gz	mother
4x_Snowden	SRR5349577	SRR5349577_1.fastq.gz	SRR5349577_2.fastq.gz	mother
4x_Superior	SRR5349638	SRR5349638_1.fastq.gz	SRR5349638_2.fastq.gz	mother
2x_DM1_3	SRR2069932	SRR2069932_1.fastq.gz	SRR2069932_2.fastq.gz	mother
Cornell_Desiree	KFRAG_01454_SK1	KFRAG_01454_SK1-1.fq.gz	KFRAG_01454_SK1-2.fq.gz	mother
Cornell_Desiree	KFRAG_01455_SK2	KFRAG_01455_SK2-1.fq.gz	KFRAG_01455_SK2-2.fq.gz	mother
Cornell_Desiree	KFRAG_01456_SK3	KFRAG_01456_SK3-1.fq.gz	KFRAG_01456_SK3-2.fq.gz	mother
Cornell_Desiree	KFRAG_01457_SK4	KFRAG_01457_SK4-1.fq.gz	KFRAG_01457_SK4-2.fq.gz	mother
Cornell_Desiree	KFRAG_01458_SK_5	KFRAG_01458_SK_5-1.fq.gz	KFRAG_01458_SK_5-2.fq.gz	mother
Cornell_Desiree	KFRAG_01459_SK_6	KFRAG_01459_SK_6-1.fq.gz	KFRAG_01459_SK_6-2.fq.gz	mother
Cornell_Desiree	KFRAG_01460_SK_7	KFRAG_01460_SK_7-1.fq.gz	KFRAG_01460_SK_7-2.fq.gz	mother
Cornell_Desiree	KFRAG_01461_SK_8	KFRAG_01461_SK_8-1.fq.gz	KFRAG_01461_SK_8-2.fq.gz	mother
Cornell_Desiree	KFRAG_01462_SK_9	KFRAG_01462_SK_9-1.fq.gz	KFRAG_01462_SK_9-2.fq.gz	mother
Cornell_Desiree	KFRAG_01463_SK_10	KFRAG_01463_SK_10-1.fq.gz	KFRAG_01463_SK_10-2.fq.gz	mother
Cornell_Desiree	KFRAG_01464_SK_11	KFRAG_01464_SK_11-1.fq.gz	KFRAG_01464_SK_11-2.fq.gz	mother
Cornell_Desiree	KFRAG_01465_SK_12	KFRAG_01465_SK_12-1.fq.gz	KFRAG_01465_SK_12-2.fq.gz	mother
Cornell_Desiree	KFRAG_01466_SK_13	KFRAG_01466_SK_13-1.fq.gz	KFRAG_01466_SK_13-2.fq.gz	mother
Cornell_Desiree	KFRAG_01467_SK_14	KFRAG_01467_SK_14-1.fq.gz	KFRAG_01467_SK_14-2.fq.gz	mother
Cornell_Desiree	KFRAG_01468_SK_15	KFRAG_01468_SK_15-1.fq.gz	KFRAG_01468_SK_15-2.fq.gz	mother
Cornell_Desiree	KFRAG_01469_SK_16	KFRAG_01469_SK_16-1.fq.gz	KFRAG_01469_SK_16-2.fq.gz	mother
Cornell_Desiree	KFRAG_01470_SK_17	KFRAG_01470_SK_17-1.fq.gz	KFRAG_01470_SK_17-2.fq.gz	mother
Cornell_Desiree	KFRAG_01471_SK_18	KFRAG_01471_SK_18-1.fq.gz	KFRAG_01471_SK_18-2.fq.gz	mother
Cornell_Desiree	KFRAG_01472_SK_19	KFRAG_01472_SK_19-1.fq.gz	KFRAG_01472_SK_19-2.fq.gz	mother
Cornell_Desiree	KFRAG_01473_SK_20	KFRAG_01473_SK_20-1.fq.gz	KFRAG_01473_SK_20-2.fq.gz	mother
Cornell_Desiree	KFRAG_01474_SK_21	KFRAG_01474_SK_21-1.fq.gz	KFRAG_01474_SK_21-2.fq.gz	mother
Cornell_Desiree	KFRAG_01475_SK_22	KFRAG_01475_SK_22-1.fq.gz	KFRAG_01475_SK_22-2.fq.gz	mother
Cornell_Desiree	KFRAG_01476_SK_23	KFRAG_01476_SK_23-1.fq.gz	KFRAG_01476_SK_23-2.fq.gz	mother
Cornell_Desiree	KFRAG_01477_SK_24	KFRAG_01477_SK_24-1.fq.gz	KFRAG_01477_SK_24-2.fq.gz	mother
Cornell_Desiree	KFRAG_01478_SK_25	KFRAG_01478_SK_25-1.fq.gz	KFRAG_01478_SK_25-2.fq.gz	mother
Cornell_Desiree	KFRAG_01479_SK_26	KFRAG_01479_SK_26-1.fq.gz	KFRAG_01479_SK_26-2.fq.gz	mother
Cornell_Desiree	KFRAG_01480_SK_27	KFRAG_01480_SK_27-1.fq.gz	KFRAG_01480_SK_27-2.fq.gz	mother
Cornell_Desiree	KFRAG_01481_SK_28	KFRAG_01481_SK_28-1.fq.gz	KFRAG_01481_SK_28-2.fq.gz	mother
Cornell_Desiree	KFRAG_01482_SK_29	KFRAG_01482_SK_29-1.fq.gz	KFRAG_01482_SK_29-2.fq.gz	mother
Cornell_Desiree	KFRAG_01483_SK_30	KFRAG_01483_SK_30-1.fq.gz	KFRAG_01483_SK_30-2.fq.gz	mother
Cornell_Desiree	KFRAG_01484_SK_31	KFRAG_01484_SK_31-1.fq.gz	KFRAG_01484_SK_31-2.fq.gz	mother
Cornell_Desiree	KFRAG_01485_SK_32	KFRAG_01485_SK_32-1.fq.gz	KFRAG_01485_SK_32-2.fq.gz	mother
Cornell_Desiree	KFRAG_01486_SK_33	KFRAG_01486_SK_33-1.fq.gz	KFRAG_01486_SK_33-2.fq.gz	mother
